Name,Flow,Amount
CAR_DIESEL_MD,CO2_E,0.09375999996108879
CAR_DIESEL_MD,DIESEL,-0.35411142842446924
CAR_DIESEL_MD,MOB_PRIVATE_MD,1.0
CAR_DIESEL_SD,CO2_E,0.09375999996108879
CAR_DIESEL_SD,DIESEL,-0.35411142842446924
CAR_DIESEL_SD,MOB_PRIVATE_SD,1.0
CAR_ETOH_E10_ELD,CO2_E,0.103805714242634
CAR_ETOH_E10_ELD,ETHANOL,-0.044368571410158084
CAR_ETOH_E10_ELD,GASOLINE,-0.3984799998346273
CAR_ETOH_E10_ELD,MOB_PRIVATE_ELD,1.0
CAR_ETOH_E10_LD,CO2_E,0.103805714242634
CAR_ETOH_E10_LD,ETHANOL,-0.044368571410158084
CAR_ETOH_E10_LD,GASOLINE,-0.3984799998346273
CAR_ETOH_E10_LD,MOB_PRIVATE_LD,1.0
CAR_ETOH_E10_MD,CO2_E,0.103805714242634
CAR_ETOH_E10_MD,ETHANOL,-0.044368571410158084
CAR_ETOH_E10_MD,GASOLINE,-0.3984799998346273
CAR_ETOH_E10_MD,MOB_PRIVATE_MD,1.0
CAR_ETOH_E10_SD,CO2_E,0.103805714242634
CAR_ETOH_E10_SD,ETHANOL,-0.044368571410158084
CAR_ETOH_E10_SD,GASOLINE,-0.3984799998346273
CAR_ETOH_E10_SD,MOB_PRIVATE_SD,1.0
CAR_ETOH_E85_ELD,CO2_E,0.09543428567467965
CAR_ETOH_E85_ELD,ETHANOL,-0.376714285557946
CAR_ETOH_E85_ELD,GASOLINE,-0.0661342856868394
CAR_ETOH_E85_ELD,MOB_PRIVATE_ELD,1.0
CAR_ETOH_E85_LD,CO2_E,0.09543428567467965
CAR_ETOH_E85_LD,ETHANOL,-0.376714285557946
CAR_ETOH_E85_LD,GASOLINE,-0.0661342856868394
CAR_ETOH_E85_LD,MOB_PRIVATE_LD,1.0
CAR_ETOH_E85_MD,CO2_E,0.09543428567467965
CAR_ETOH_E85_MD,ETHANOL,-0.376714285557946
CAR_ETOH_E85_MD,GASOLINE,-0.0661342856868394
CAR_ETOH_E85_MD,MOB_PRIVATE_MD,1.0
CAR_ETOH_E85_SD,CO2_E,0.09543428567467965
CAR_ETOH_E85_SD,ETHANOL,-0.376714285557946
CAR_ETOH_E85_SD,GASOLINE,-0.0661342856868394
CAR_ETOH_E85_SD,MOB_PRIVATE_SD,1.0
CAR_EV_ELD,ELECTRICITY_MV,-0.12502325574526338
CAR_EV_ELD,MOB_PRIVATE_ELD,1.0
CAR_EV_LD,ELECTRICITY_MV,-0.12502325574526338
CAR_EV_LD,MOB_PRIVATE_LD,1.0
CAR_EV_MD,ELECTRICITY_MV,-0.12502325574526338
CAR_EV_MD,MOB_PRIVATE_MD,1.0
CAR_EV_SD,ELECTRICITY_MV,-0.12502325574526338
CAR_EV_SD,MOB_PRIVATE_SD,1.0
CAR_FC_H2_ELD,CO2_E,0.022
CAR_FC_H2_ELD,H2_HP,-0.1872238807630568
CAR_FC_H2_ELD,MOB_PRIVATE_ELD,1.0
CAR_FC_H2_LD,CO2_E,0.022
CAR_FC_H2_LD,H2_HP,-0.1872238807630568
CAR_FC_H2_LD,MOB_PRIVATE_LD,1.0
CAR_FC_H2_MD,CO2_E,0.022
CAR_FC_H2_MD,H2_HP,-0.1872238807630568
CAR_FC_H2_MD,MOB_PRIVATE_MD,1.0
CAR_FC_H2_SD,CO2_E,0.022
CAR_FC_H2_SD,H2_HP,-0.1872238807630568
CAR_FC_H2_SD,MOB_PRIVATE_SD,1.0
CAR_GASOLINE_ELD,CO2_E,0.09362857155371704
CAR_GASOLINE_ELD,GASOLINE,-0.34384285760244354
CAR_GASOLINE_ELD,MOB_PRIVATE_ELD,1.0
CAR_GASOLINE_LD,CO2_E,0.09362857155371704
CAR_GASOLINE_LD,GASOLINE,-0.34384285760244354
CAR_GASOLINE_LD,MOB_PRIVATE_LD,1.0
CAR_GASOLINE_MD,CO2_E,0.09362857155371704
CAR_GASOLINE_MD,GASOLINE,-0.34384285760244354
CAR_GASOLINE_MD,MOB_PRIVATE_MD,1.0
CAR_GASOLINE_SD,CO2_E,0.09362857155371704
CAR_GASOLINE_SD,GASOLINE,-0.34384285760244354
CAR_GASOLINE_SD,MOB_PRIVATE_SD,1.0
CAR_HEV_ELD,CO2_E,0.06917142861661918
CAR_HEV_ELD,GASOLINE,-0.2928257144770212
CAR_HEV_ELD,MOB_PRIVATE_ELD,1.0
CAR_HEV_LD,CO2_E,0.06917142861661918
CAR_HEV_LD,GASOLINE,-0.2928257144770212
CAR_HEV_LD,MOB_PRIVATE_LD,1.0
CAR_HEV_MD,CO2_E,0.06917142861661918
CAR_HEV_MD,GASOLINE,-0.2928257144770212
CAR_HEV_MD,MOB_PRIVATE_MD,1.0
CAR_HEV_SD,CO2_E,0.06917142861661918
CAR_HEV_SD,GASOLINE,-0.2928257144770212
CAR_HEV_SD,MOB_PRIVATE_SD,1.0
CAR_MEOH_ELD,CO2_E,0.09292285710429335
CAR_MEOH_ELD,GASOLINE,-0.3264857141502199
CAR_MEOH_ELD,METHANOL,-0.04035714286547368
CAR_MEOH_ELD,MOB_PRIVATE_ELD,1.0
CAR_MEOH_LD,CO2_E,0.09292285710429335
CAR_MEOH_LD,GASOLINE,-0.3264857141502199
CAR_MEOH_LD,METHANOL,-0.04035714286547368
CAR_MEOH_LD,MOB_PRIVATE_LD,1.0
CAR_MEOH_MD,CO2_E,0.09292285710429335
CAR_MEOH_MD,GASOLINE,-0.3264857141502199
CAR_MEOH_MD,METHANOL,-0.04035714286547368
CAR_MEOH_MD,MOB_PRIVATE_MD,1.0
CAR_MEOH_SD,CO2_E,0.09292285710429335
CAR_MEOH_SD,GASOLINE,-0.3264857141502199
CAR_MEOH_SD,METHANOL,-0.04035714286547368
CAR_MEOH_SD,MOB_PRIVATE_SD,1.0
CAR_PHEV_ELD,CO2_E,0.04063428589774853
CAR_PHEV_ELD,ELECTRICITY_MV,-0.08752000002856344
CAR_PHEV_ELD,GASOLINE,-0.17347714364038797
CAR_PHEV_ELD,MOB_PRIVATE_ELD,1.0
CAR_PHEV_LD,CO2_E,0.04063428589774853
CAR_PHEV_LD,ELECTRICITY_MV,-0.08752000002856344
CAR_PHEV_LD,GASOLINE,-0.17347714364038797
CAR_PHEV_LD,MOB_PRIVATE_LD,1.0
CAR_PHEV_MD,CO2_E,0.04063428589774853
CAR_PHEV_MD,ELECTRICITY_MV,-0.08752000002856344
CAR_PHEV_MD,GASOLINE,-0.17347714364038797
CAR_PHEV_MD,MOB_PRIVATE_MD,1.0
CAR_PHEV_SD,CO2_E,0.04063428589774853
CAR_PHEV_SD,ELECTRICITY_MV,-0.08752000002856344
CAR_PHEV_SD,GASOLINE,-0.17347714364038797
CAR_PHEV_SD,MOB_PRIVATE_SD,1.0
CAR_PROPANE_ELD,CO2_E,0.09208571424749791
CAR_PROPANE_ELD,MOB_PRIVATE_ELD,1.0
CAR_PROPANE_ELD,PROPANE,-0.44284857124478544
CAR_PROPANE_LD,CO2_E,0.09208571424749791
CAR_PROPANE_LD,MOB_PRIVATE_LD,1.0
CAR_PROPANE_LD,PROPANE,-0.44284857124478544
CAR_PROPANE_MD,CO2_E,0.09208571424749791
CAR_PROPANE_MD,MOB_PRIVATE_MD,1.0
CAR_PROPANE_MD,PROPANE,-0.44284857124478544
CAR_PROPANE_SD,CO2_E,0.09208571424749791
CAR_PROPANE_SD,MOB_PRIVATE_SD,1.0
CAR_PROPANE_SD,PROPANE,-0.44284857124478544
CCGT,CO2_A,0.314
CCGT,ELECTRICITY_HV,1.0
CCGT,NG_HP,-1.4862380949944969
CCGT_BIOGAS,CO2_A,0.2940634920152943
CCGT_BIOGAS,ELECTRICITY_HV,1.0
CCGT_BIOGAS,SNG_HP,-1.4862380949944969
CCGT_BIOGAS_CC,CO2_C,0.2940634920152943
CCGT_BIOGAS_CC,CO2_E,0.08428571427189964
CCGT_BIOGAS_CC,ELECTRICITY_HV,1.0
CCGT_BIOGAS_CC,SNG_HP,-1.6426349203656885
CCGT_CC,CO2_C,0.314
CCGT_CC,CO2_E,0.09
CCGT_CC,ELECTRICITY_HV,1.0
CCGT_CC,NG_HP,-1.6426349203656885
CEMENT_PROD,CEMENT,1.0
CEMENT_PROD,CO2_A,0.185
CEMENT_PROD,ELECTRICITY_MV,-0.108
CEMENT_PROD,HEAT_HIGH_T,-0.862
CEMENT_PROD_HP,CEMENT,1.0
CEMENT_PROD_HP,CO2_A,0.185
CEMENT_PROD_HP,ELECTRICITY_MV,-0.058
CEMENT_PROD_HP,HEAT_HIGH_T,-0.862
CO2_E,CO2_E,1.0
CO2_METHANOL,CO2_C,-0.25
CO2_METHANOL,H2_MP,-1.5
CO2_METHANOL,METHANOL,1.0
CO2_STO,CO2_C,-1.0
CO2_STO,CO2_CS,1.0
CO2_STO,ELECTRICITY_MV,-0.007
CO2_TO_DIESEL,CO2_C,-0.361
CO2_TO_DIESEL,DIESEL,1.0
CO2_TO_DIESEL,GASOLINE,0.388
CO2_TO_DIESEL,H2_MP,-1.538
CO2_TO_JETFUELS,BIO_JETFUEL,1.0
CO2_TO_JETFUELS,CO2_A,1.023
CO2_TO_JETFUELS,CO2_C,-0.26
CO2_TO_JETFUELS,H2_MP,-1.19
CO2_TO_JETFUELS,WET_BIOMASS,-3.413
COACH_BIODIESEL_B100_ELD,BIO_DIESEL,-0.10213142856544606
COACH_BIODIESEL_B100_ELD,CO2_E,0.020091428570251684
COACH_BIODIESEL_B100_ELD,MOB_PUBLIC_ELD,1.0
COACH_BIODIESEL_B100_LD,BIO_DIESEL,-0.10213142856544606
COACH_BIODIESEL_B100_LD,CO2_E,0.020091428570251684
COACH_BIODIESEL_B100_LD,MOB_PUBLIC_LD,1.0
COACH_BIODIESEL_B100_MD,BIO_DIESEL,-0.10213142856544606
COACH_BIODIESEL_B100_MD,CO2_E,0.020091428570251684
COACH_BIODIESEL_B100_MD,MOB_PUBLIC_MD,1.0
COACH_BIODIESEL_B20_ELD,BIO_DIESEL,-0.020091428570251684
COACH_BIODIESEL_B20_ELD,CO2_E,0.020091428570251684
COACH_BIODIESEL_B20_ELD,DIESEL,-0.08120285713810056
COACH_BIODIESEL_B20_ELD,MOB_PUBLIC_ELD,1.0
COACH_BIODIESEL_B20_LD,BIO_DIESEL,-0.020091428570251684
